date,decision,reason,spx_entry,vix_entry,expiry,dte,short_strike,long_strike,entry_credit,contracts,estimated_margin,exit_time,exit_price,exit_reason,pnl_per_contract,total_pnl,win_loss,runtime_sec
2017-02-19,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-02-20,SKIP,missing SPX/VIX entry data,,,,,,,,0,,,,,,,,0.614
2017-02-21,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-02-22,SKIP,no credit-qualified spread candidate,2359.03,12.03,,,,,,0,,,,,,,,11.361
2017-02-23,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-02-24,SKIP,no credit-qualified spread candidate,2356.35,12.25,,,,,,0,,,,,,,,11.465
2017-02-25,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-02-26,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-02-27,SKIP,no credit-qualified spread candidate,2362.74,12.09,,,,,,0,,,,,,,,11.189
2017-02-28,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-01,SKIP,no credit-qualified spread candidate,2382.75,12.16,,,,,,0,,,,,,,,10.234
2017-03-02,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-03,SKIP,VIX below minimum (11.41 < 12),2382.3,11.41,,,,,,0,,,,,,,,0.614
2017-03-04,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-05,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-06,SKIP,VIX below minimum (11.50 < 12),2371.05,11.5,,,,,,0,,,,,,,,0.609
2017-03-07,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-08,SKIP,VIX below minimum (11.36 < 12),2371.21,11.36,,,,,,0,,,,,,,,0.614
2017-03-09,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-10,SKIP,VIX below minimum (11.96 < 12),2371.49,11.96,,,,,,0,,,,,,,,0.614
2017-03-11,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-12,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-13,SKIP,VIX below minimum (11.97 < 12),2371.96,11.97,,,,,,0,,,,,,,,0.607
2017-03-14,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-15,SKIP,no credit-qualified spread candidate,2370.47,12.08,,,,,,0,,,,,,,,9.997
2017-03-16,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-17,SKIP,VIX below minimum (10.97 < 12),2382.56,10.97,,,,,,0,,,,,,,,0.615
2017-03-18,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-19,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-20,SKIP,VIX below minimum (11.24 < 12),2374.81,11.24,,,,,,0,,,,,,,,0.611
2017-03-21,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-22,SKIP,no credit-qualified spread candidate,2343.04,12.34,,,,,,0,,,,,,,,9.458
2017-03-23,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-24,SKIP,no credit-qualified spread candidate,2352.16,12.6,,,,,,0,,,,,,,,9.453
2017-03-25,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-26,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-27,SKIP,no credit-qualified spread candidate,2324.26,14.65,,,,,,0,,,,,,,,10.536
2017-03-28,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-29,SKIP,VIX below minimum (11.47 < 12),2355.49,11.47,,,,,,0,,,,,,,,0.609
2017-03-30,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-03-31,SKIP,VIX below minimum (11.81 < 12),2364.72,11.81,,,,,,0,,,,,,,,0.611
2017-04-01,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-04-02,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-04-03,SKIP,no credit-qualified spread candidate,2365.23,12.61,,,,,,0,,,,,,,,11.101
2017-04-04,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
